iata_code,latitude_deg,longitude_deg,iso_region
KCJ,-7.2714,143.5952,PG-GPK
OLQ,-5.389722222,141.5152778,PG-WPD
KDE,-5.6952,142.7441,PG-HLA
OPB,-4.794727,151.696195,PG-EBR
PLE,-5.372407,142.975774,PG-EPW
PGB,-7.0226,141.5605,PG-WPD
PDI,-6.445138889,147.5158333,PG-MPL
APR,-4.676666667,142.5401389,PG-ESW
PGN,-6.386,144.1084,PG-SHM
PMP,-6.499166667,143.5102778,PG-SHM
MPF,-7.979,143.1694,PG-WPD
PMN,-9.7469,149.4766,PG-MBA
WLU,-6.475161,143.987222,PG-SHM
POM,-9.443380356,147.2200012,PG-NCD
KRJ,-4.596666667,143.5225,PG-ESW
TLP,-4.7748,141.0133,PG-SAN
SPH,-8.3038,147.1659,PG-CPM
ONB,-8.674361111,147.2624167,PG-CPM
SXA,-6.0908,147.5955,PG-MPL
KIQ,-8.065111111,147.3320278,PG-NPP
RBP,-9.971111111,149.8322222,PG-MBA
RMN,-5.897222222,141.2716667,PG-WPD
KMR,-6.4921,144.823,PG-CPK
RKU,-8.817000054,146.5243833,PG-CPM
MWI,-5.13,143.4829,PG-EPW
KOR,-7.834666667,146.5335,PG-GPK
MRH,-4.3615,141.785,PG-ESW
SBE,-6.104444444,142.2783333,PG-WPD
SDI,-5.627138889,146.4627778,PG-MPM
NIS,-2.662222222,151.9977778,PG-NIK
SFU,-9.593055556,148.6361111,PG-NPP
SIL,-9.073555556,148.38925,PG-NPP
SBV,-5.5765,155.0489,PG-NSB
SIM,-5.278611111,144.5447222,PG-MPM
SGK,-5.125833333,144.3236111,PG-MPM
SXH,-9.964527778,151.1618611,PG-MBA
SBC,-5.315,141.752,PG-WPD
SMH,-6.075277778,146.8111111,PG-MPL
SPV,-3.8821,143.6734,PG-ESW
TDS,-7.6217,142.868,PG-WPD
SKC,-8.0466,141.7222,PG-WPD
SXW,-5.9701,148.8543,PG-WBK
SWG,-6.139555556,147.2791667,PG-MPL
MBV,-6.345,147.591,PG-MPL
TIZ,-5.845,142.947998,PG-HLA
TBG,-5.280471,141.227576,PG-WPD
TFM,-5.12608,141.641922,PG-SAN
TDB,-9.1586,148.0686,PG-NPP
TGL,-11.33111111,153.2029167,PG-MBA
TFB,-5.117249,141.418076,PG-SAN
TPI,-8.356666667,146.9891667,PG-CPM
RAB,-4.34046,152.380005,PG-EBR
TKW,-5.243667,142.165194,PG-SAN
KDQ,-3.600556,141.051667,PG-SAN
TEP,-5.9553,146.5595,PG-MPM
TBQ,-6.466666667,145.5322222,PG-EHG
TSW,-7.0695,146.1272,PG-MPL
TRJ,-5.614,141.0421,PG-WPD
TFI,-9.075954437,149.3198395,PG-NPP
TBE,-4.196633,143.519222,PG-ESW
TWY,-7.4463,146.1067,PG-MPL
TEO,-8.169722222,146.1944444,PG-GPK
TKB,-7.6808,146.5503,PG-MPL
UMC,-7.0214,145.966,PG-MPL
URU,-9.5162,148.5591,PG-NPP
UBI,-6.729166667,155.6833333,PG-NSB
AUV,-5.731111111,148.4452778,PG-WBK
GLP,-5.2808,141.5411,PG-WPD
UPR,-8.5411,142.6503,PG-WPD
KUX,-5.372361111,141.6238889,PG-WPD
UVO,-6.0178,150.9557,PG-EBR
TLW,-5.2726,150.0089,PG-WBK
TCJ,-4.0165,143.1329,PG-ESW
VAI,-2.6926,141.3028,PG-SAN
TON,-6.6552,155.4326,PG-NSB
WUV,-1.736111111,142.8366667,PG-MRL
WAO,-6.989444444,145.0751111,PG-GPK
WTT,-6.1325,146.4677778,PG-MPL
WBM,-5.635293,143.892231,PG-EPW
WAJ,-6.9523,142.6557,PG-WPD
AGL,-9.3375,149.155556,PG-NPP
WNU,-4.8961,145.3213,PG-MPM
WBC,-9.3376,150.5093,PG-MBA
WWK,-3.583830118,143.6690063,PG-ESW
WOA,-6.796861111,145.8919444,PG-EHG
WKN,-5.8603,155.2223,PG-NSB
WSU,-5.961709449,147.1982253,PG-MPL
WTP,-8.545833,147.2525,PG-CPM
WUG,-7.345556,146.718611,PG-MPL
YVD,-7.548,146.188,PG-MPL
SMJ,-7.75,146.9273,PG-MPL
TLO,-4.980830193,152.0099945,PG-EBR
WPM,-8.78822,142.882004,PG-WPD
WEP,-8.6184,141.1381,PG-WPD
AYY,6.86,81.82388889,LK-5
KYX,-6.09,147.0117,PG-MPL
YEQ,-5.109722222,143.9176667,PG-EPW
TCK,-4.0949,143.3838,PG-ESW
LNF,-4.855941,141.220165,PG-SAN
RAX,-9.632916667,148.0480556,PG-CPM
KPE,-4.628055556,141.0941667,PG-SAN
KSX,-6.6015,146.1813,PG-MPL
ZEN,-6.952222222,146.61625,PG-MPL
SWR,-4.529888889,153.0544444,PG-NIK
WUM,-6.0491,149.337,PG-WBK
SIZ,-2.999444444,142.0445,PG-SAN
OSG,-2.915555556,141.2973056,PG-SAN
ZXT,40.494884,49.977065,AZ-BA
HAE,36.1916008,-113.0920029,US-AZ
AZB,-10.29916667,149.3383333,PG-CPM
BAJ,-4.883333333,149.1333333,PG-WBK
BCW,-21.8533,35.438301,MZ-I
BCZ,-13.78083333,136.2016667,AU-NT
JAM,42.454899,26.3522,BG-28
JEG,68.721802,-52.784698,GL-QK
AOQ,72.88703,-55.596287,GL-AV
AGM,65.612296,-37.618335,GL-SE
LLU,60.46445,-45.56917,GL-KU
QUV,60.148357,-44.286916,GL-KU
JRK,61.176828,-48.419698,GL-SE
QUW,60.597376,-45.382445,GL-KU
QGQ,67.940663,-53.62187,GL-QK
UAK,61.1605,-45.425999,GL-KU
JCH,68.822816,-51.173447,GL-QK
CNP,70.743103,-22.650499,GL-SE
QFG,60.61972,-45.914062,GL-KU
QFN,60.004694,-44.656935,GL-KU
JGR,61.22896,-48.09698,GL-SE
GOH,64.191066,-51.67914,GL-SE
JGO,69.251182,-53.514876,GL-QK
IKE,70.498145,-51.303084,GL-AV
QFI,68.147226,-53.173528,GL-QK
QRY,68.140881,-53.441459,GL-QK
XIQ,69.080915,-51.114315,GL-AV
IUI,73.199895,-56.010817,GL-AV
IOQ,65.547792,-38.976552,GL-SE
QJI,68.634253,-51.832262,GL-QK
JJU,60.715684,-46.029919,GL-KU
JAV,69.243202,-51.057098,GL-AV
QPW,68.312657,-53.460208,GL-QK
KUS,65.573601,-37.1236,GL-SE
KUZ,65.863935,-36.997919,GL-SE
KHQ,74.57805,-57.226828,GL-AV
KGQ,72.381092,-55.536586,GL-AV
QJE,68.857926,-53.123295,GL-QK
IOT,71.241944,-53.562877,GL-AV
JSU,65.412498,-52.9394,GL-QA
JNN,60.141884,-45.232977,GL-KU
